address,Business,Damage,pid
3308 CEDAR AVE S,La Morenita,Minor,
511 LAKE ST E,Hair salon,Minor,
5101 34TH AVE S,Speedway,Minor,
2515 NICOLLET AVE,Copper hen,Minor,
1204 LAKE ST E,?,Minor,
2224 LAKE ST E,ICC Wireless,Minor,
3511 MINNEHAHA AVE,Sandbergâ€™s import repair,Minor,
2745 BLOOMINGTON AVE,Yarborough print shop,Minor,
2800 26TH ST E,Cedar food & grill,Minor,
4556 34TH AVE S,Lakes landscaping,Minor,
800 NICOLLET MALL,Mens Warehouse,Minor,
1100 LAKE ST E,Center for Urban Service,Minor,
4553 34TH AVE S,Freshly cut,Minor,
1016 WASHINGTON AVE SE,Multiple restaurants along Huron (same building),Minor,
2110 LAKE ST E,Gorditas el Gordo,Minor,
1540 LAKE ST E,Star dragon,Minor,
3515 CHICAGO AVE,Full Cycle,Minor,
2220 LYNDALE AVE S,Galls,Minor,
826 LAKE ST E,T transit center terminals,Minor,
312 3RD ST S,,Minor,
2015 EMERSON AVE N,Urban Homeworks,Minor,
2600 NICOLLET AVE,Cheepo Records,Minor,
3333 LAKE ST E,Napa Auto Parts,Minor,
1001 WASHINGTON AVE S,Perscope,Minor,
4401 HIAWATHA AVE,Teddy rents,Minor,
403 LAKE ST W,NULL,Minor,
1110 WEST BROADWAY,unknown,Minor,
,Edible Arrangements,Minor,
400 3RD ST S,,Minor,
2840 CHICAGO AVE,Floral,Minor,
2707 LYNDALE AVE S,Flanders cycle,Minor,
1925 LYNDALE AVE S,Vacant,Minor,
3240 LAKE ST W,Walgreens,Minor,
1 LAKE ST W #G60,Vision world,Minor,
1715 LAKE ST W,CalSurf,Minor,
2815 NICOLLET AVE,Daycare,Minor,
1926 CHICAGO AVE,Juba pharmacy,Minor,
19 26TH ST E,Yoga studio,Minor,
2501 38TH ST E,Hennepin Overland Railway Historical Society,Minor,
4456 NICOLLET AVE,N/a,Minor,
3815 LAKE ST E,Longfellow Market,Minor,
3032 HENNEPIN AVE,See eyewear,Minor,
212 ONTARIO ST SE,Stadium Village Mall,Minor,
2931 LAKE ST E,Little Street Gifts and Oils,Minor,
1418 LAKE ST E,Quruxlow,Minor,
2716 31ST ST E,Glass Endeavors,Minor,
2951 LYNDALE AVE S,Jungle Theater,Minor,
3216 LAKE ST W,Barnes and Noble,Minor,
525 5TH ST N,Trax burger bar,Minor,
1130 NICOLLET MALL,YWCA,Minor,
3111 EMERSON AVE N,So Low grocery outlet,Minor,
3248 LAKE ST W,Fastframe,Minor,
4101 CHICAGO AVE,Moxie,Minor,
1505 LAKE ST W,Wells Fargo,Minor,
720 LAKE ST E,Comunidades latinas unidas en servico,Minor,
1613 LAKE ST E,NULL,Minor,
5937 NICOLLET AVE,Cub foods,Minor,
3038 E 35th Ave,Barr Webb Plumbing,Minor,
1223 42ND AVE N,The T Shoppe,Minor,
1201 HENNEPIN AVE,Lunds & Byerlys,Minor,
1720 GLENWOOD AVE,Mildaâ€™s Corner,Minor,
2301 38TH ST E,Dream haven books,Minor,
904 WEST BROADWAY,"Mc Donalds, giant wash, foot locker, family dollar",Minor,
3240 WASHINGTON AVE N,Rivera,Minor,
2629 LAKE ST E,Midori’s,Minor,
1530 LAKE ST E,Lake halal grocery store,Minor,
110 8TH ST S,Fast Signs,Minor,
3010 PENN AVE N,Family Dollar,Minor,
2941 BLOOMINGTON AVE,Halwo kismayo,Minor,
220 11TH ST S,Ambassador Operations Center,Minor,
825 MARQUETTE AVE #FOSHAY TOW,Mannyâ€™s Steakhouse,Minor,
2943 PARK AVE,Intermarco auto repair,Minor,
4305 UPTON AVE S,Heart of Tibet,Minor,
2124 COMO AVE SE,Como Tap,Minor,
2801 CHICAGO AVE,Penny George institute for health and healing,Minor,
2643 NICOLLET AVE,Tobacco shop,Minor,
2824 13TH AVE S,Abubakar as-saddique,Minor,
3462 MINNEHAHA AVE,Minnehaha business services,Minor,
1517 35TH ST E,Reverie,Minor,
3822 LAKE ST E,NA - Three commercial tenants in this building,Minor,
1100 WEST BROADWAY,Juxtaposition Arts,Minor,
,Kitchen Normandy Bar,Minor,
3500 MINNEHAHA AVE,Lowbrow saints tattoo,Minor,
825 HENNEPIN AVE,Rock Bottom Restaurant & Brewery,Minor,
315 LAKE ST E,Sabri Block,Minor,
1600 WEST BROADWAY,Mr. BBQ,Minor,
626 LOWRY AVE N,Lowry grocery,Minor,
3415 27TH ST E,Empire Glass,Minor,
18 26TH ST W,Eat street social,Minor,
5400 LYNDALE AVE S,Bp,Minor,
100 LAKE ST W,Whit castle,Minor,
2602 10TH AVE S,Fabulous coffee,Minor,
2501 LYNDALE AVE S,Loon Smoke Shop,Minor,
1113 FRANKLIN AVE E,Woodlands.National Bank,Minor,
1610 LAGOON AVE,Studio V,Minor,
501 WEST BROADWAY,Strip mall with various retailers,Minor,
2728 NICOLLET AVE,El nuevo mariachi,Minor,
3323 COLUMBUS AVE,,Minor,
600 5TH ST N,District 600,Minor,
3425 LAKE ST E,Subway,Minor,
2925 CHICAGO AVE,Midtown exchange,Minor,
3012 MINNEHAHA AVE,The Geek Love Cafe,Minor,
811 38th Avenues South,,Minor,
3301 COLFAX AVE N,Single family dwelling detached garage,Minor,
114 8TH ST S,Hen House Eatery,Minor,
315 DIAMOND LAKE RD W,Zizi Boutiques,Minor,
1410 NICOLLET AVE,Marquee,Minor,
2550 NICOLLET AVE,Black sheep pizza,Minor,
931 NICOLLET MALL,The Local,Minor,
2718 NICOLLET AVE #103,,Minor,
611 VAN WHITE MEMORIAL BLVD,Hennepin County Library,Minor,
801 NICOLLET MALL,801 Chop House,Minor,
3715 CHICAGO AVE,CTUL,Minor,
401 LAKE ST W,NULL,Minor,
1700 LAKE ST E,Stop shop,Minor,
80 8TH ST S,Roti Modern Mediterranean,Minor,
4401 LAKE ST E,Minneapolis Chiropractic,Minor,
2401 NICOLLET AVE,Harks food market,Minor,
1024 38TH ST E,Tiny Diner,Minor,
2551 LYNDALE AVE S,Nighngale,Minor,
1606 Bloomington avenue,NULL,Minor,
2710 NICOLLET AVE,Ichiddo Ramen,Minor,
3445 CEDAR AVE S,Blackbirdâ€™s music store,Minor,
,Jasmine,Minor,
,,Minor,
3749 CEDAR AVE S,Lucyâ€™s Market,Minor,
334 LAKE ST E,Los vaqueros de chinhuahua,Minor,
1401 38TH ST E,Urban touch barbers,Minor,
210 LAKE ST E,McDonalds,Minor,
3500 CEDAR AVE S,Mattâ€™s,Minor,
27 7TH ST S,Park and Shop,Minor,
3910 46TH ST E,,Minor,
2724 NICOLLET AVE,Leâ€™s Beauty salon,Minor,
2100 EMERSON AVE N,North Minneapolis Youth leadership,Minor,
3010 EAST MINNEHAHA PKWY,Hook and Ladder,Minor,
2401 LYNDALE AVE S,Misfits,Minor,
2601 49TH AVE N,Cinequipt,Minor,
2400 PENN AVE N,Gear 4 Less,Minor,
711 LAKE ST W,Venus Unveiled / Steamshop Gamea,Minor,
2328 38TH ST E,Action auto,Minor,
700 LAKE ST E,NULL,Minor,
3014 UNIVERSITY AVE SE,,Minor,
1501 LAKE ST E,Playa Los Lagos,Minor,
329 15TH ST W,Dunn Brothers Coffee,Minor,
3025-3027 Chicago,NULL,Minor,
1202 LAKE ST E,Hayat,Minor,
2549 LYNDALE AVE S,The Bulldog,Minor,
3455 BLOOMINGTON AVE,Sea wolf tattoo,Minor,
1905 3RD AVE S,3rd Ave Market,Minor,
3505 23RD AVE S,Blue tree music education,Minor,
3916 LAKE ST E,East Lake Liquor Store,Minor,
1819 31ST ST E,,Minor,
404 WEST BROADWAY,Vietnam Hong Kong International,Minor,
4440 HUMBOLDT AVE N,Webber Park Library,Minor,
3240 10TH AVE S,Walgreens,Minor,
4351 CHICAGO AVE,H&R block,Minor,
3613 LAKE ST E,MN School of Barbering,Minor,
310 CLIFTON AVE,Care Counseling,Minor,
621 LAKE ST W #300,NULL,Minor,
313 LAKE ST W,NULL,Minor,
3118 LAKE ST E,McDonalds,Minor,
3238 WASHBURN AVE N,Absolute mail services,Minor,
2000 3RD AVE S,BP fuel station,Minor,
4255 NICOLLET AVE,Revival,Minor,
2426 2ND ST NE,Murados liquor,Minor,
4626 NICOLLET AVE,Dollar Tree,Minor,
16 26TH ST W,Storm king bbq,Minor,
3028 LAKE ST E,Saigón garage,Minor,
2410 HENNEPIN AVE,2nd swing tour van fitting,Minor,
700 NICOLLET MALL,Daytons,Minor,
27 7TH ST S,Team liquor wine and spirits,Minor,
27 7TH ST S,Foot Locker,Minor,
2910 LAKE ST E,Himalayan,Minor,
501 WASHINGTON AVE N,Caribou,Minor,
2600 BLOOMINGTON AVE,Mecca Halal Meat and Grocery,Minor,
1518 LAKE ST E,Lake St Chiropractic,Minor,
2912 HENNEPIN AVE,Fjall raven,Minor,
301 LAKE ST E,International Bazaar,Minor,
2515 UNIVERSITY AVE SE,Fairview Childrenâ€™s Clinic and Pharmacy,Minor,
1822 LAKE ST E,Sunshine child day care,Minor,
2727 LYNDALE AVE S,Buffalo Exchange,Minor,
901 HENNEPIN AVE,The Meridian,Minor,
3245 HIAWATHA AVE,Public Storage,Minor,
80 8TH ST S,IDS Center,Minor,
3748 CEDAR AVE S,,Minor,
3722 LAKE ST E,D and Z Auto Sales,Minor,
818 LOWRY AVE N,Star Foods,Minor,
3753 CEDAR AVE S,Jackelope tattoo,Minor,
1226 LINDEN AVE,Theatrical Costume Co,Minor,
201 WASHINGTON AVE N,Red Rabbit,Minor,
5000 HIAWATHA AVE,Caps Grill,Minor,
2012 NICOLLET AVE,Liquor Store,Minor,
1711 LAKE ST E,Power plus store #2,Minor,
4501 NICOLLET AVE,?,Minor,
2939 12TH AVE S,Society of St. Vincent thrift store,Minor,
2006 PORTLAND AVE,Midwest market,Minor,
805 HENNEPIN AVE,State Theatre,Minor,
519 LAKE ST E,Auto sales,Minor,
1801 NICOLLET AVE,African Market,Minor,
3463 MINNEHAHA AVE,Universal Chiropractic,Minor,
2616 27TH AVE S,La perla,Minor,
4400 LAKE ST E,Dairy Queen,Minor,
407 LAKE ST W,NULL,Minor,
1519 como Ave se,None posted,Minor,
2620 NICOLLET AVE,Luâ€™s sandwich,Minor,
3021 4TH AVE S,NULL,Minor,
814 FRANKLIN AVE E,,Minor,
4554 MINNEHAHA AVE,Minnehaha Falls Family Dental,Minor,
4240 NICOLLET AVE,Four gates,Minor,
4443 HIAWATHA AVE,Na,Minor,
3004 36TH AVE S,Prairie Woodworking,Minor,
3731 CHICAGO AVE,Sincere Detailing Pros,Minor,
4000 27TH ST E,Yo sports wear,Minor,
500 LAKE ST E,A&j fish chicken,Minor,
2325 LYNDALE AVE S,Giant Wash Coin Laundry,Minor,
3725 CHICAGO AVE,Giant express laundromat,Minor,
4522 LAKE ST E,Electra Tune auto garage,Minor,
304 LAKE ST E,CSL Plasma,Minor,
2744 NICOLLET AVE,Colonial market,Minor,
901 NICOLLET MALL,,Minor,
4006 NAWADAHA BLVD,Target Field,Minor,
800 WEST BROADWAY,Jackson Hewitt Tax,Minor,
43 and Nicollet,,Minor,
4534 NICOLLET AVE,Road runner records,Minor,
1840 38TH ST E,,Minor,
1040 NICOLLET MALL,Chipotle,Minor,
434 LAKESIDE AVE,US Storage Center,Minor,
1112 LOWRY AVE N,E and L,Minor,
2203 44TH AVE N,Tori 44 Ramen,Minor,
2917 12TH AVE S,NULL,Minor,
800 FRANKLIN AVE E,Two amigos bazar,Minor,
3008 HENNEPIN AVE,North Face,Minor,
4200 54TH ST E,Off-leash Art Box,Minor,
3040 EXCELSIOR BLVD,Caribou Coffee,Minor,
501 HURON BLVD SE,Doubletree,Minor,
1015 LAKE ST W,Verizon,Minor,
2628 NICOLLET AVE,City child care,Minor,
35 7TH ST S,Raddison Blu,Minor,
717 MARQUETTE AVE,Metro transit,Minor,
2910 PILLSBURY AVE,Plaza de karmel,Minor,
3004 36TH AVE S,Savory Bake House,Minor,
3745 BLOOMINGTON AVE,Pet food shelf,Minor,
3740 CHICAGO AVE,Black eye roasting co.,Minor,
"3747 42nd Ave S, Minneapolis, MN 55406",Riverview Wine Bar,Minor,
4109 LAKE ST E,Leviticus Tattoo,Minor,
90 9TH ST S,The Metro Apartments,Minor,
2100 LAKE ST E,Aldi,Minor,
1433 LAKE ST W,AT&T Store,Minor,
650 3RD AVE S,Star Tribune,Minor,
2953 BLOOMINGTON AVE,Office and Glorias Salon,Minor,
1922 HENNEPIN AVE,Lowry Hill Liquor,Minor,
3001 HENNEPIN AVE,Calhoun Square,Minor,
1500 WEST BROADWAY,none,Minor,
1827 NICOLLET AVE,Halal Meats,Minor,
5032 11TH AVE S,N/a,Minor,
1617 LAKE ST E,La Poblanita,Minor,
,Mercy,Minor,
811 LASALLE AVE,,Minor,
4323 CHICAGO AVE,Walgreens,Minor,
3018 LYNDALE AVE N,ZRS Fossils and Gifts,Minor,
2528 NICOLLET AVE,Icehouse,Minor,
711 LAKE ST W,Volsteadâ€™s Emporium,Minor,
525 5TH ST N,The Fillmore,Minor,
108 3RD ST N,,Minor,
811 38TH ST E,,Minor,
1201 HARMON PL,VA Community Resource & Referral Center,Minor,
5554 34TH AVE S,Grand sunrise,Minor,
68 12TH ST N,Firestone,Minor,
1831 NICOLLET AVE,"Tobacco e-cigs, hookah, accessory",Minor,
1604 WEST BROADWAY,Amstar,Minor,
4946 34TH AVE S,Nokomis Shoe Store,Minor,
2633 NICOLLET AVE,Western union and Dai Loi market,Minor,
80 8TH ST S #102,Nordstrom Rack,Minor,
114 9TH ST S,Keys at the Foshay,Minor,
320 3RD ST S,,Minor,
3328 LAKE ST E,All Area Management,Minor,
3759 CHICAGO AVE,Cup Foods,Minor,
1635 HENNEPIN AVE,Hifi records,Minor,
4320 LAKE ST E,Speedway store,Minor,
800 HENNEPIN AVE,,Minor,
4001 HIAWATHA AVE,IAC international,Minor,
510 LAKE ST W,Auto repair,Minor,
,Cambria,Minor,
3510 TAYLOR ST NE,,Minor,
2650 HENNEPIN AVE,Walgreens pharmacy,Minor,
1500 LAKE ST E,In the Heart if the Beast Theater,Minor,
,Mission American Kitchen & Bar,Minor,
2743 NICOLLET AVE,BambÃº,Minor,
2900 11TH AVE S #1005,NULL,Minor,
1610 HARMON PL,4 Bells,Minor,
3746 CEDAR AVE S,Metal Detectors,Minor,
1015 LAKE ST W,Tan / Verizon Wireless,Minor,
4458 34TH AVE S,NA,Minor,
3800 BLOOMINGTON AVE,Arco,Minor,
,Hampton Inn and Suites,Minor,
3453 NICOLLET AVE,Speedway,Minor,
2941 BLOOMINGTON AVE,Halo kismayo,Minor,
601 NICOLLET MALL,North Memorial Health Clinic,Minor,
500 LAKE ST E,A&j fish chicken,Minor,
Bad wait,Bad waitress,Minor,
3516 LAKE ST E,Building with no sign.  Perhaps vacant.,Minor,
3001 UNIVERSITY AVE NE,Speedway,Minor,
3131 SNELLING AVE,Bokers Inc,Minor,
113 GRANT ST W,Lotus Vietnamese restaurant,Minor,
309 LAKE ST W,Yasmin Djibouti,Minor,
4205 34TH ST E,Turtle Bread,Minor,
2712 NICOLLET AVE,Shuang Hur market,Minor,
,Rustica Bakery,Minor,
3016 LYNDALE AVE S,Szechuan Spice Restaurant,Minor,
4501 34TH AVE S,Twisted groove,Minor,
401 LAKE ST E,NULL,Minor,
913 LAKE ST W,Morrissieâ€™s Irish Pub,Minor,
,Butcher & The Boar,Minor,
3120 PENN AVE N,Aldi,Minor,
310 4TH AVE S,Walgreens,Minor,
211 west lake st,Lake st Beauty Supply,Minor,
2929 LYNDALE AVE S,Bloody Gorgeous,Minor,
1001 LAKE ST W,MattressFIRM (2nd entered to capture windows),Minor,
1804 NICOLLET AVE,AM Food Market & Tobacco,Minor,
4010 LAKE ST E,Two Bettys,Minor,
3252A,Calhoun Vision,Minor,
1256 Plymouth - Penn and Plymouth,Thor Headquarters,Minor,
1501 LOWRY AVE N,Foreign Lengths MN / Hair Salon,Minor,
,Daytonâ€™s,Minor,
201 3RD AVE S,,Minor,
1024 MARQUETTE AVE,WCCO Television,Minor,
4023 LAKE ST E,Anderson Realty,Minor,
4508 LAKE ST E,Vacant building for lease.,Minor,
700 WEST BROADWAY,"Merwin Liquors, Un Bank",Minor,
2719 27TH ST E,NULL,Minor,
,Nokomis Market,Minor,
901 WASHINGTON AVE SE,Value Liquors,Minor,
10 26TH ST E,Bad waitress,Minor,
3032 HENNEPIN AVE,Magers & Quinn Booksellers,Minor,
3736 CHICAGO AVE,Cover design,Minor,
2715 26TH ST E,Annex,Minor,
4408 NICOLLET AVE,Polished Nails and Spa,Minor,
2955 PORTLAND AVE,Valvoline,Minor,
4014 15TH AVE S,Family dollar,Minor,
801 HENNEPIN AVE,Capital Grille,Minor,
3400 BLOOMINGTON AVE,Glad creations,Minor,
615 2ND AVE S,Grand Hotel,Minor,
4458 34TH AVE S,,Minor,
520 LAKE ST E,Dukes auto repair,Minor,
1837 38TH ST E,La Loma,Minor,
2905 GARFIELD AVE,Uptown Hub Nutrition club,Minor,
1410 LAKE ST E,El Porto,Minor,
1507 LOWRY AVE N,Jackson's Deli,Minor,
3326 CHICAGO AVE,Detached garage,Minor,
3016 MINNEHAHA AVE,The Hub Bicycle,Minor,
1108 WEST BROADWAY,Les Jolies Petites Dance,Minor,
810 27TH ST E,,Minor,
2747 BLOOMINGTON AVE,Moe value food and deli,Minor,
1542 LAKE ST E,Cadillac pawn,Minor,
705 LAKE ST W,Thurstonâ€™s Jewelry,Minor,
420 5TH ST N,Go 96.3 Modern Music,Minor,
250 LAKESIDE AVE,Jackieâ€™s living with style,Minor,
1111 HENNEPIN AVE,MPP,Minor,
1560 NEW BRIGHTON BLVD,Famous footwear,Minor,
1831 NICOLLET AVE,Flavor Bees,Minor,
3244 LAKE ST W,Chuck & Donâ€™s Pet food and supplies,Minor,
419 LAKE ST E,NULL,Minor,
3201 3RD ST N,,Minor,
1834 38TH ST E,Yellow Tree,Minor,
3252 LAKE ST W #A,Mood yoga / Seed cafe,Minor,
626 LAKE ST W,Itâ€™s Greek To Me,Minor,
913 LAKE ST W,Anthonyâ€™s Tobacco,Minor,
811 11TH AVE S,Candyland,Minor,
212 3RD AVE S,,Minor,
3242 LAKE ST W,Sprint,Minor,
24 3RD ST N,,Minor,
2309 HENNEPIN AVE,Autopia/Pizza Hut,Minor,
4137 BLOOMINGTON AVE,El colegio charter school,Minor,